iShares Russell 3000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,30-Apr-24,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,
Shares Outstanding,"45,450,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"44,687,989.72",0.34,"44,687,989.72","1,131,628.00",39.49,United States,New York Stock Exchange Inc.,USD,1,USD,-
DHR,DANAHER CORP,Health Care,Equity,"43,645,821.12",0.33,"43,645,821.12","176,976.00",246.62,United States,New York Stock Exchange Inc.,USD,1,USD,-
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"43,073,119.42",0.33,"43,073,119.42","244,151.00",176.42,United States,NASDAQ,USD,1,USD,-
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"40,599,169.80",0.31,"40,599,169.80","244,279.00",166.2,United States,New York Stock Exchange Inc.,USD,1,USD,-
COP,CONOCOPHILLIPS,Energy,Equity,"40,483,557.40",0.31,"40,483,557.40","322,270.00",125.62,United States,New York Stock Exchange Inc.,USD,1,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"40,443,475.30",0.31,"40,443,475.30","1,061,230.00",38.11,United States,NASDAQ,USD,1,USD,-
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"39,635,551.20",0.3,"39,635,551.20","417,480.00",94.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
AMGN,AMGEN INC,Health Care,Equity,"39,361,342.84",0.3,"39,361,342.84","143,686.00",273.94,United States,NASDAQ,USD,1,USD,-
RTX,RTX CORP,Industrials,Equity,"39,254,839.92",0.3,"39,254,839.92","386,671.00",101.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
PFE,PFIZER INC,Health Care,Equity,"39,060,585.06",0.3,"39,060,585.06","1,524,613.00",25.62,United States,New York Stock Exchange Inc.,USD,1,USD,-
